id,parent id,block type,proposal timestamp,finalization timestamp,depth,finalized,transactions
f2825,Genesis,tree,0.6501022182567618,None,1,False,3a64083ef3
1ce66,f2825,tree,5.155022110038247,None,2,False,1562c24b8a;fe9fa10744
37d75,1ce66,tree,9.517496292893776,None,3,False,419271b45c;4ddfa48bdf;bc75d3d860
67978,1ce66,tree,9.7704964180507,None,3,False,419271b45c;4ddfa48bdf;bc75d3d860
6fca4,37d75,tree,10.976711344934948,None,4,False,
265fd,6fca4,tree,13.928302600716362,None,5,False,1253487ab2;5b4fc94e4e;9af271ce02;ad393d5f9a;ed4302880b;104f87748e
4c3f9,265fd,tree,14.824928108539977,None,6,False,d7352e0296;e460d43620
7a455,4c3f9,tree,17.520214886963704,None,7,False,97acf47979;d22e0a4ac9
87644,7a455,tree,18.990640774901966,None,8,False,ef00283d07;d66b7ed6f9
e38d2,7a455,tree,19.407536480941175,None,8,False,ef00283d07;d66b7ed6f9
38e8a,7a455,tree,20.416031921772607,None,8,False,ef00283d07;d66b7ed6f9
c5c0f,e38d2,tree,28.763099369117597,None,9,False,ded7901340;8d08368c6a;844c332222;26b21f0102;18a997917e;63631fcd5c
d9d57,38e8a,tree,31.70023354615246,None,9,False,ded7901340;8d08368c6a;844c332222;26b21f0102;18a997917e;63631fcd5c
2648e,c5c0f,tree,36.05611477647281,None,10,False,b21c23d5e9;14066bc3c0;97c58ee7df;518623f2ec;8971662150
0d6b2,c5c0f,tree,37.21573797023055,None,10,False,b21c23d5e9;14066bc3c0;97c58ee7df;518623f2ec;8971662150
9bdb3,c5c0f,tree,38.233313899353575,None,10,False,b21c23d5e9;14066bc3c0;97c58ee7df;518623f2ec;8971662150
8abbe,2648e,tree,39.67014185174122,None,11,False,86db89c5c7;21d653f988;0dc06a8076;5e19249c19
2b90f,8abbe,tree,43.68862499654799,None,12,False,9d440fa492
f4a86,2b90f,tree,44.79474974485254,None,13,False,6884a24384;93fbdea68b
564e0,2b90f,tree,45.171969332112596,None,13,False,6884a24384;93fbdea68b
9e7e8,2b90f,tree,46.97246594769608,None,13,False,6884a24384;93fbdea68b
924f7,f4a86,tree,52.313298640486266,None,14,False,20db30a83b;a345eed09c;307bfcc0f4;5d0d0c51c4;5f18832fd9;0025ef1c26;384ac9e971;3a50e31c42
cf9de,924f7,tree,52.93200917481117,None,15,False,
3ca52,cf9de,tree,53.665658019035504,None,16,False,7f682a836c;f256ec8b5c
d40b3,3ca52,tree,57.14930788509945,None,17,False,38856961cd;e11b0e4c9f
83a18,3ca52,tree,57.376104116238224,None,17,False,38856961cd;e11b0e4c9f;1a16d07335
db3f9,d40b3,tree,59.4626878879804,None,18,False,1a16d07335;80302e2fb8;2aec216e64
059e4,db3f9,tree,60.67953335097753,None,19,False,
8a47c,db3f9,tree,61.90880188023329,None,19,False,
2c4e4,db3f9,tree,64.90909566092559,None,19,False,
9cf58,059e4,tree,69.26669311331949,None,20,False,41c2f21ea4;5ced16ac79;c589c9a96e;93fa860b8f;da6580fd9a;9ce02938e2
28851,059e4,tree,69.41843872885912,None,20,False,41c2f21ea4;5ced16ac79;c589c9a96e;93fa860b8f;da6580fd9a;9ce02938e2
d186c,9cf58,tree,73.85991779695188,None,21,False,425937b63b;a7eb4d7550;54859d7233;72b676749c;fee3942a3c;78608344c2
bd012,d186c,tree,79.92183604509387,None,22,False,6ff261fd65;5f8acbb130;9b9009c741;98057049ff;d3662bb5eb
98aef,d186c,tree,80.0463725981277,None,22,False,6ff261fd65;5f8acbb130;9b9009c741;98057049ff;d3662bb5eb
4658a,bd012,tree,80.31570287150366,None,23,False,
8f4bf,bd012,tree,80.83926440428021,None,23,False,
173a7,4658a,tree,82.92979652356637,None,24,False,262e8eafe4;bbbd1cb964;5c27d40c36;b4c9d9ffdb
0f1bd,173a7,tree,85.35566239195705,None,25,False,1ebddd4c6c;16cf5a3603;176259b4e0;2dd9e43f9d;c48791deef;8742fcfe41;9bfc33d39a
236b9,0f1bd,tree,86.48145113202237,None,26,False,ccd6f3b32e
cd717,0f1bd,tree,86.6427371528383,None,26,False,ccd6f3b32e
d32ec,0f1bd,tree,86.75021610197987,None,26,False,ccd6f3b32e
d4ec7,236b9,tree,88.65177167412338,None,27,False,
e200c,d4ec7,tree,91.16136677498268,None,28,False,6c3521156a;f512862c0d;8671ba51e6;37542f1ca0;483275b788
232c6,d4ec7,tree,91.57255057713135,None,28,False,6c3521156a;f512862c0d;8671ba51e6;37542f1ca0;483275b788
2792d,d4ec7,tree,95.02046133526422,None,28,False,6c3521156a;f512862c0d;8671ba51e6;37542f1ca0;483275b788
1f86c,d4ec7,tree,95.40049203105183,None,28,False,6c3521156a;f512862c0d;8671ba51e6;37542f1ca0;483275b788
27d18,e200c,tree,101.48968498905373,None,29,False,
c5b21,e200c,tree,101.53313863393127,None,29,False,
78a6a,27d18,tree,103.53899639639427,None,30,False,62e58c2dc6;e23c52c315;bb53b93b6e;0628705f37;c2d6075e16;3cfae65e15;ee38cc6a96
760db,27d18,tree,105.28940934364599,None,30,False,62e58c2dc6;e23c52c315;bb53b93b6e;0628705f37;c2d6075e16;3cfae65e15;ee38cc6a96
85814,78a6a,tree,108.43325529189251,None,31,False,fcd6690f47;b2a59275db;754f519a62;10b5515fff;e24fcb66ec;0eb3472423
3bb37,78a6a,tree,108.46075086573569,None,31,False,fcd6690f47;b2a59275db;754f519a62;10b5515fff;e24fcb66ec;0eb3472423
fce57,78a6a,tree,108.62474520769564,None,31,False,fcd6690f47;b2a59275db;754f519a62;10b5515fff;e24fcb66ec;0eb3472423
c5c46,85814,tree,110.53483601031925,None,32,False,9076c93575
49f2a,c5c46,tree,117.97837611973476,None,33,False,04eeaedd21;0b81e0c972;24c881219c;52d842881b;6d0041b4ec;3142b365e1;1bc02fee30;16c3f0110e;eabe303be9;53a40edea4;a8b79e68f5;bcd1c71a13;f076bb98d5;8a184cfd27;dfd0739240;e45a5b0f2f;74de2dc34e
42fd6,d9d57,tree,119.14658138148741,None,10,False,9076c93575;b21c23d5e9;14066bc3c0;97c58ee7df;518623f2ec;8971662150;86db89c5c7;21d653f988;0dc06a8076;5e19249c19;9d440fa492;6884a24384;93fbdea68b;20db30a83b;a345eed09c;307bfcc0f4;5d0d0c51c4;5f18832fd9;0025ef1c26;384ac9e971;3a50e31c42;7f682a836c;f256ec8b5c;38856961cd;e11b0e4c9f;1a16d07335;80302e2fb8;2aec216e64;41c2f21ea4;5ced16ac79;c589c9a96e;93fa860b8f;da6580fd9a;9ce02938e2;a7eb4d7550;54859d7233;72b676749c;425937b63b;fee3942a3c;78608344c2;6ff261fd65;5f8acbb130;9b9009c741;98057049ff;d3662bb5eb;262e8eafe4;bbbd1cb964;5c27d40c36;b4c9d9ffdb;1ebddd4c6c;16cf5a3603
65c69,49f2a,tree,125.06727724174112,None,34,False,b453747577;025052ff97;e515356083
9d6a1,65c69,tree,125.93970316736964,None,35,False,
6f4f3,9d6a1,tree,129.02346729644796,None,36,False,a15d24e1ff
f9ab8,6f4f3,tree,129.45366993683606,None,37,False,
15ba8,6f4f3,tree,131.8774741680904,None,37,False,
f8d66,6f4f3,tree,133.91202170901403,None,37,False,
8bc3a,f9ab8,tree,135.0235796222715,None,38,False,dc5ffd97f9;3ee9ed29c2;2b2341eec1
111c8,f9ab8,tree,135.74627047774638,None,38,False,dc5ffd97f9;3ee9ed29c2;2b2341eec1
949e9,8bc3a,tree,138.81049660267016,None,39,False,fa33773f0f;142eeb402f;5cae53b51a;0c747a6a68
688a9,111c8,tree,142.05123970943646,None,39,False,fa33773f0f;142eeb402f;5cae53b51a;0c747a6a68
b220d,949e9,tree,143.78081084605162,None,40,False,b2f59c5c65;75d3b25c77;6e3a1631d4;8a77bdd26e;60aa07b276;a750a00237;93abd7f3eb;4557946d23
