id,parent id,block type,proposal timestamp,finalization timestamp,depth,finalized,transactions
caa90,8ae6f,tree,601.9695530105718,None,153,False,be55397d23;16a1aef643;e99f298d2a;b22e00a5b8;b2786e63c3;3e8e2d8a33;94407aca1e;310e9f83d6;4125d9447f;c62b91f734
c94c5,8ae6f,tree,603.1983101839818,None,153,False,e99f298d2a;b22e00a5b8;b2786e63c3;3e8e2d8a33;be55397d23;16a1aef643;94407aca1e;310e9f83d6;4125d9447f;c62b91f734
58d8a,bd5b6,tree,606.6160279486098,None,154,False,f79b15e5b5;39f75b2221;33f4748ae4;33ac03d54a;465374eb05;5c0d11a370;d6e288e098;ead9e5a83f;79a7e3dee2;3dcf431d18;8c6db51cc8;b7f8dc5b1b
5a284,bd5b6,tree,608.5508981171798,None,154,False,f79b15e5b5;39f75b2221;33f4748ae4;33ac03d54a;465374eb05;5c0d11a370;d6e288e098;ead9e5a83f;79a7e3dee2;3dcf431d18;8c6db51cc8;b7f8dc5b1b
a1bd9,bd5b6,tree,608.61923576623,None,154,False,f79b15e5b5;39f75b2221;33f4748ae4;33ac03d54a;465374eb05;5c0d11a370;d6e288e098;ead9e5a83f;79a7e3dee2;3dcf431d18;8c6db51cc8;b7f8dc5b1b
fba49,58d8a,tree,609.3288068179484,None,155,False,a041d89eed;b364eb0eac
e2223,58d8a,tree,609.746663403763,None,155,False,a041d89eed;b364eb0eac
d7ca4,fba49,tree,611.720798033902,None,156,False,4b05258b6d;5a7b1dec10;df87e109a8;1555c4177f;7ca820acc6;f90b2f30df
d5421,d7ca4,tree,614.0407274261536,None,157,False,ea6677d8e6
7f5c7,d7ca4,tree,614.5932443172368,None,157,False,ea6677d8e6
20dd6,d7ca4,tree,615.6605472633179,None,157,False,ea6677d8e6
d3cf8,d7ca4,tree,616.1880778846051,None,157,False,ea6677d8e6
26ae8,d5421,tree,618.4215151582732,None,158,False,2fc42093d1;c979d12dab;8f0e2cd8bd;d7511a97f1;3af7b0e76f
42db3,26ae8,tree,620.7933284341698,None,159,False,81df8cde9c;0f6b0f0dc5;0b559ad4bc;9f75189807
a0da0,26ae8,tree,621.1702813383188,None,159,False,81df8cde9c;0f6b0f0dc5;0b559ad4bc;9f75189807
4ce09,26ae8,tree,623.3796486152918,None,159,False,81df8cde9c;0f6b0f0dc5;0b559ad4bc;9f75189807
1bcdf,42db3,tree,624.8167384354992,None,160,False,e9a64d4ad3;6def4b75b2;8c43f6a991;3f6c2f0089
a3d3a,42db3,tree,625.4184674179068,None,160,False,e9a64d4ad3;6def4b75b2;8c43f6a991;3f6c2f0089
4ad8a,42db3,tree,627.8951454423517,None,160,False,e9a64d4ad3;6def4b75b2;8c43f6a991;3f6c2f0089;a8d691923f;acd298c457
0c2f6,42db3,tree,628.0698392755525,None,160,False,e9a64d4ad3;6def4b75b2;8c43f6a991;3f6c2f0089;a8d691923f;acd298c457
25ba0,1bcdf,tree,628.8779368657487,None,161,False,a8d691923f;acd298c457;e051b32f7f;1a8d91dae7;a76e5321fb;39b5cee1b0;983c40bcbe;92789ed316
ac4fe,1bcdf,tree,631.5832096599315,None,161,False,a8d691923f;acd298c457;e051b32f7f;1a8d91dae7;a76e5321fb;39b5cee1b0;983c40bcbe;92789ed316
